Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
Carmelo Anthony;PF;37;LAL;69;3;26.0;4.6;10.5;.441;2.2;5.8;.375;2.5;4.7;.521;.544;1.9;2.3;.830;0.9;3.3;4.2;1.0;0.7;0.8;0.9;2.4;13.3
Cole Anthony;PG;21;ORL;65;65;31.7;5.5;14.0;.391;2.0;6.0;.338;3.5;8.0;.432;.464;3.3;3.9;.854;0.5;4.9;5.4;5.7;0.7;0.3;2.6;2.6;16.3
OG Anunoby;SF;24;TOR;48;48;36.0;6.4;14.5;.443;2.4;6.6;.363;4.0;7.9;.511;.526;1.9;2.5;.754;1.5;4.0;5.5;2.6;1.5;0.5;1.7;2.7;17.1
Ryan Arcidiacono;PG;27;NYK;10;0;7.6;0.6;1.2;.500;0.4;0.9;.444;0.2;0.3;.667;.667;0.0;0.0;;0.0;0.8;0.8;0.4;0.1;0.0;0.3;0.5;1.6
Trevor Ariza;SF;36;LAL;24;11;19.3;1.4;4.1;.333;0.8;3.1;.270;0.5;1.0;.520;.434;0.4;0.8;.556;0.4;3.0;3.4;1.1;0.5;0.3;0.5;0.8;4.0
D.J. Augustin;PG;34;TOT;55;2;16.1;1.7;4.0;.423;1.2;3.0;.415;0.5;1.1;.448;.577;0.7;0.8;.884;0.2;1.0;1.2;1.9;0.3;0.0;1.0;0.7;5.3
D.J. Augustin;PG;34;HOU;34;2;15.0;1.6;4.0;.404;1.1;2.8;.406;0.5;1.2;.400;.548;1.0;1.1;.868;0.2;1.0;1.2;2.2;0.3;0.0;1.3;0.5;5.4
D.J. Augustin;PG;34;LAL;21;0;17.8;1.9;4.1;.453;1.4;3.2;.426;0.5;0.9;.556;.622;0.2;0.2;1.000;0.2;1.1;1.3;1.6;0.3;0.0;0.5;1.0;5.3
Deni Avdija;SF;21;WAS;82;8;24.2;3.0;7.1;.432;1.0;3.2;.317;2.0;3.9;.525;.503;1.3;1.7;.757;0.6;4.5;5.2;2.0;0.7;0.5;1.1;2.3;8.4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Joel Ayayi;SG;21;WAS;7;0;2.9;0.1;0.9;.167;0.0;0.1;.000;0.1;0.7;.200;.167;0.0;0.0;;0.1;0.3;0.4;0.6;0.0;0.0;0.0;0.0;0.3
Deandre Ayton;C;23;PHO;58;58;29.5;7.6;12.0;.634;0.1;0.3;.368;7.5;11.7;.642;.639;1.8;2.4;.746;2.6;7.7;10.2;1.4;0.7;0.7;1.6;2.4;17.2
Udoka Azubuike;C;22;UTA;17;6;11.5;2.2;2.9;.755;0.0;0.0;;2.2;2.9;.755;.755;0.4;0.6;.545;1.1;3.1;4.2;0.0;0.1;0.6;0.7;1.5;4.7
Marvin Bagley III;PF;22;TOT;48;25;23.9;4.7;9.3;.504;0.5;2.0;.237;4.2;7.3;.579;.530;1.4;2.1;.663;2.2;4.9;7.0;0.8;0.5;0.4;0.8;1.9;11.3
Marvin Bagley III;PF;22;SAC;30;17;21.9;3.8;8.2;.463;0.5;2.1;.242;3.3;6.1;.538;.494;1.2;1.6;.745;2.2;4.9;7.2;0.6;0.3;0.4;0.7;1.7;9.3
Marvin Bagley III;PF;22;DET;18;8;27.2;6.2;11.1;.555;0.4;1.9;.229;5.7;9.2;.624;.575;1.8;3.0;.593;2.1;4.7;6.8;1.1;0.7;0.4;1.0;2.4;14.6
LaMelo Ball;PG;20;CHO;75;75;32.3;7.2;16.7;.429;2.9;7.5;.389;4.2;9.2;.462;.517;2.8;3.2;.872;1.4;5.2;6.7;7.6;1.6;0.4;3.3;3.2;20.1
Lonzo Ball;PG;24;CHI;35;35;34.6;4.6;10.9;.423;3.1;7.4;.423;1.5;3.5;.423;.567;0.6;0.8;.750;1.0;4.4;5.4;5.1;1.8;0.9;2.3;2.4;13.0
Mo Bamba;C;23;ORL;71;69;25.7;4.2;8.7;.480;1.5;4.0;.381;2.7;4.7;.563;.566;0.8;1.0;.781;2.1;6.0;8.1;1.2;0.5;1.7;1.1;2.6;10.6
Desmond Bane;SF;23;MEM;76;76;29.8;6.7;14.5;.461;3.0;6.9;.436;3.7;7.6;.484;.565;1.8;2.0;.903;0.6;3.8;4.4;2.7;1.2;0.4;1.5;2.6;18.2
Dalano Banton;SF;22;TOR;64;1;10.9;1.3;3.2;.411;0.2;0.8;.255;1.1;2.4;.464;.443;0.4;0.7;.591;0.6;1.3;1.9;1.5;0.4;0.2;0.8;1.1;3.2
Cat Barber;PG;27;ATL;3;0;4.3;0.0;1.3;.000;0.0;0.0;;0.0;1.3;.000;.000;0.0;1.3;.000;0.3;0.7;1.0;1.0;0.0;0.0;0.3;0.3;0.0
